t,ax,ay,ayaw,av,aomega,ox0,oy0,ovx0,ovy0,or0,ox1,oy1,ovx1,ovy1,or1,ox2,oy2,ovx2,ovy2,or2,ox3,oy3,ovx3,ovy3,or3,ox4,oy4,ovx4,ovy4,or4,ox5,oy5,ovx5,ovy5,or5,ox6,oy6,ovx6,ovy6,or6,ox7,oy7,ovx7,ovy7,or7
9.219,60.33,59.54,-2.467,0.0,-2.5,157.75,346.04,-62.57,82.36,10.0,393.45,358.86,-72.64,-37.56,10.0,292.13,300.0,48.04,92.24,10.0,720.22,337.39,30.16,-31.02,10.0,569.06,254.02,7.27,62.16,10.0,316.57,146.27,55.99,8.45,10.0,57.55,506.87,-65.25,17.47,10.0,84.87,477.5,-2.8,63.33,10.0
9.235,60.33,59.54,-2.507,0.0,-2.5,156.75,347.35,-62.57,82.36,10.0,392.29,358.26,-72.64,-37.56,10.0,292.89,301.47,48.04,92.24,10.0,720.7,336.89,30.16,-31.02,10.0,569.18,255.02,7.27,62.16,10.0,317.46,146.41,55.99,8.45,10.0,56.5,507.15,-65.25,17.47,10.0,84.83,478.51,-2.8,63.33,10.0
9.251,60.33,59.54,-2.547,0.0,-2.5,155.75,348.67,-62.57,82.36,10.0,391.12,357.66,-72.64,-37.56,10.0,293.66,302.95,48.04,92.24,10.0,721.18,336.39,30.16,-31.02,10.0,569.3,256.01,7.27,62.16,10.0,318.36,146.54,55.99,8.45,10.0,55.46,507.43,-65.25,17.47,10.0,84.78,479.52,-2.8,63.33,10.0
9.268,60.33,59.54,-2.59,0.0,-2.5,154.69,350.07,-62.57,82.36,10.0,389.89,357.02,-72.64,-37.56,10.0,294.48,304.51,48.04,92.24,10.0,721.69,335.87,30.16,-31.02,10.0,569.42,257.07,7.27,62.16,10.0,319.31,146.69,55.99,8.45,10.0,54.35,507.72,-65.25,17.47,10.0,84.73,480.6,-2.8,63.33,10.0
9.284,60.33,59.54,-2.63,0.0,-2.5,153.69,351.39,-62.57,82.36,10.0,388.73,356.42,-72.64,-37.56,10.0,295.25,305.99,48.04,92.24,10.0,722.18,335.37,30.16,-31.02,10.0,569.54,258.06,7.27,62.16,10.0,320.21,146.82,55.99,8.45,10.0,53.31,508.0,-65.25,17.47,10.0,84.69,481.61,-2.8,63.33,10.0
9.3,60.33,59.54,-2.67,0.0,-2.5,152.69,352.71,-62.57,82.36,10.0,387.57,355.82,-72.64,-37.56,10.0,296.02,307.47,48.04,92.24,10.0,722.66,334.87,30.16,-31.02,10.0,569.65,259.06,7.27,62.16,10.0,321.1,146.96,55.99,8.45,10.0,52.26,508.28,-65.25,17.47,10.0,84.64,482.63,-2.8,63.33,10.0
9.316,60.33,59.54,-2.71,0.0,-2.5,151.69,354.03,-62.57,82.36,10.0,386.4,355.22,-72.64,-37.56,10.0,296.79,308.94,48.04,92.24,10.0,723.14,334.38,30.16,-31.02,10.0,569.77,260.05,7.27,62.16,10.0,322.0,147.09,55.99,8.45,10.0,51.22,508.56,-65.25,17.47,10.0,84.6,483.64,-2.8,63.33,10.0
9.332,60.33,59.54,-2.75,0.0,-2.5,150.68,355.34,-62.57,82.36,10.0,385.24,354.62,-72.64,-37.56,10.0,297.55,310.42,48.04,92.24,10.0,723.62,333.88,30.16,-31.02,10.0,569.89,261.05,7.27,62.16,10.0,322.89,147.23,55.99,8.45,10.0,50.17,508.84,-65.25,17.47,10.0,84.56,484.65,-2.8,63.33,10.0
9.358,60.33,59.54,-2.815,0.0,-2.5,149.06,357.48,-62.57,82.36,10.0,383.35,353.64,-72.64,-37.56,10.0,298.8,312.82,48.04,92.24,10.0,724.41,333.07,30.16,-31.02,10.0,570.08,262.66,7.27,62.16,10.0,324.35,147.45,55.99,8.45,10.0,48.48,509.3,-65.25,17.47,10.0,84.48,486.3,-2.8,63.33,10.0
9.375,60.33,59.54,-2.857,0.0,-2.5,147.99,358.88,-62.57,82.36,10.0,382.12,353.0,-72.64,-37.56,10.0,299.62,314.38,48.04,92.24,10.0,724.92,332.55,30.16,-31.02,10.0,570.2,263.72,7.27,62.16,10.0,325.3,147.59,55.99,8.45,10.0,47.37,509.59,-65.25,17.47,10.0,84.43,487.38,-2.8,63.33,10.0
9.392,60.33,59.54,-2.9,0.0,-2.5,146.93,360.28,-62.57,82.36,10.0,380.88,352.37,-72.64,-37.56,10.0,300.44,315.95,48.04,92.24,10.0,725.43,332.02,30.16,-31.02,10.0,570.32,264.77,7.27,62.16,10.0,326.25,147.73,55.99,8.45,10.0,46.26,509.89,-65.25,17.47,10.0,84.39,488.45,-2.8,63.33,10.0
9.409,60.33,59.54,-2.942,0.0,-2.5,145.87,361.68,-62.57,82.36,10.0,379.65,351.73,-72.64,-37.56,10.0,301.25,317.52,48.04,92.24,10.0,725.95,331.49,30.16,-31.02,10.0,570.45,265.83,7.27,62.16,10.0,327.21,147.88,55.99,8.45,10.0,45.15,510.19,-65.25,17.47,10.0,84.34,489.53,-2.8,63.33,10.0
9.425,60.33,59.54,-2.982,0.0,-2.5,144.87,363.0,-62.57,82.36,10.0,378.49,351.13,-72.64,-37.56,10.0,302.02,319.0,48.04,92.24,10.0,726.43,331.0,30.16,-31.02,10.0,570.56,266.83,7.27,62.16,10.0,328.1,148.01,55.99,8.45,10.0,44.11,510.47,-65.25,17.47,10.0,84.3,490.54,-2.8,63.33,10.0
9.441,60.33,59.54,-3.022,0.0,-2.5,143.86,364.32,-62.57,82.36,10.0,377.32,350.53,-72.64,-37.56,10.0,302.79,320.47,48.04,92.24,10.0,726.91,330.5,30.16,-31.02,10.0,570.68,267.82,7.27,62.16,10.0,329.0,148.15,55.99,8.45,10.0,43.06,510.75,-65.25,17.47,10.0,84.25,491.56,-2.8,63.33,10.0
9.457,60.33,59.54,-3.062,0.0,-2.5,142.86,365.64,-62.57,82.36,10.0,376.16,349.92,-72.64,-37.56,10.0,303.56,321.95,48.04,92.24,10.0,727.4,330.0,30.16,-31.02,10.0,570.8,268.81,7.27,62.16,10.0,329.89,148.28,55.99,8.45,10.0,42.02,511.02,-65.25,17.47,10.0,84.21,492.57,-2.8,63.33,10.0
9.474,60.33,59.54,-3.105,0.0,-2.5,141.8,367.04,-62.57,82.36,10.0,374.93,349.29,-72.64,-37.56,10.0,304.38,323.52,48.04,92.24,10.0,727.91,329.48,30.16,-31.02,10.0,570.92,269.87,7.27,62.16,10.0,330.85,148.43,55.99,8.45,10.0,40.91,511.32,-65.25,17.47,10.0,84.16,493.65,-2.8,63.33,10.0
9.49,60.33,59.54,3.138,0.0,-2.5,140.8,368.36,-62.57,82.36,10.0,373.76,348.69,-72.64,-37.56,10.0,305.14,324.99,48.04,92.24,10.0,728.39,328.98,30.16,-31.02,10.0,571.03,270.87,7.27,62.16,10.0,331.74,148.56,55.99,8.45,10.0,39.86,511.6,-65.25,17.47,10.0,84.11,494.66,-2.8,63.33,10.0
9.506,60.33,59.54,3.098,0.0,-2.5,139.8,369.67,-62.57,82.36,10.0,372.6,348.08,-72.64,-37.56,10.0,305.91,326.47,48.04,92.24,10.0,728.87,328.48,30.16,-31.02,10.0,571.15,271.86,7.27,62.16,10.0,332.64,148.7,55.99,8.45,10.0,38.82,511.88,-65.25,17.47,10.0,84.07,495.67,-2.8,63.33,10.0
9.522,60.33,59.54,3.058,0.0,-2.5,138.8,370.99,-62.57,82.36,10.0,371.44,347.48,-72.64,-37.56,10.0,306.68,327.94,48.04,92.24,10.0,729.36,327.99,30.16,-31.02,10.0,571.27,272.85,7.27,62.16,10.0,333.53,148.83,55.99,8.45,10.0,37.78,512.16,-65.25,17.47,10.0,84.02,496.69,-2.8,63.33,10.0
9.538,60.33,59.54,3.018,0.0,-2.5,137.8,372.31,-62.57,82.36,10.0,370.28,346.88,-72.64,-37.56,10.0,307.45,329.42,48.04,92.24,10.0,729.84,327.49,30.16,-31.02,10.0,571.38,273.85,7.27,62.16,10.0,334.43,148.97,55.99,8.45,10.0,36.73,512.44,-65.25,17.47,10.0,83.98,497.7,-2.8,63.33,10.0
9.561,60.33,59.54,2.961,0.0,-2.5,136.36,374.2,-62.57,82.36,10.0,368.61,346.02,-72.64,-37.56,10.0,308.55,331.54,48.04,92.24,10.0,730.53,326.78,30.16,-31.02,10.0,571.55,275.28,7.27,62.16,10.0,335.72,149.16,55.99,8.45,10.0,35.23,512.84,-65.25,17.47,10.0,83.91,499.16,-2.8,63.33,10.0
9.578,60.33,59.54,2.918,0.0,-2.5,135.29,375.6,-62.57,82.36,10.0,367.37,345.38,-72.64,-37.56,10.0,309.37,333.11,48.04,92.24,10.0,731.04,326.25,30.16,-31.02,10.0,571.67,276.34,7.27,62.16,10.0,336.67,149.31,55.99,8.45,10.0,34.12,513.14,-65.25,17.47,10.0,83.87,500.23,-2.8,63.33,10.0
9.594,60.33,59.54,2.878,0.0,-2.5,134.29,376.92,-62.57,82.36,10.0,366.21,344.78,-72.64,-37.56,10.0,310.14,334.58,48.04,92.24,10.0,731.53,325.75,30.16,-31.02,10.0,571.79,277.33,7.27,62.16,10.0,337.57,149.44,55.99,8.45,10.0,33.08,513.42,-65.25,17.47,10.0,83.82,501.25,-2.8,63.33,10.0
9.611,60.33,59.54,2.836,0.0,-2.5,133.23,378.32,-62.57,82.36,10.0,364.97,344.14,-72.64,-37.56,10.0,310.96,336.15,48.04,92.24,10.0,732.04,325.23,30.16,-31.02,10.0,571.91,278.39,7.27,62.16,10.0,338.52,149.58,55.99,8.45,10.0,31.97,513.71,-65.25,17.47,10.0,83.78,502.32,-2.8,63.33,10.0
9.628,60.33,59.54,2.793,0.0,-2.5,132.16,379.72,-62.57,82.36,10.0,363.74,343.5,-72.64,-37.56,10.0,311.77,337.72,48.04,92.24,10.0,732.55,324.7,30.16,-31.02,10.0,572.04,279.44,7.27,62.16,10.0,339.47,149.73,55.99,8.45,10.0,30.86,514.01,-65.25,17.47,10.0,83.73,503.4,-2.8,63.33,10.0
9.644,60.11,59.63,2.753,15.0,-2.5,131.16,381.04,-62.57,82.36,10.0,362.58,342.9,-72.64,-37.56,10.0,312.54,339.2,48.04,92.24,10.0,733.04,324.2,30.16,-31.02,10.0,572.15,280.44,7.27,62.16,10.0,340.37,149.86,55.99,8.45,10.0,29.82,514.29,-65.25,17.47,10.0,83.68,504.41,-2.8,63.33,10.0
9.66,59.89,59.73,2.713,15.0,-2.5,130.16,382.36,-62.57,82.36,10.0,361.41,342.3,-72.64,-37.56,10.0,313.31,340.67,48.04,92.24,10.0,733.52,323.71,30.16,-31.02,10.0,572.27,281.43,7.27,62.16,10.0,341.26,150.0,55.99,8.45,10.0,28.77,514.57,-65.25,17.47,10.0,83.64,505.43,-2.8,63.33,10.0
9.677,59.66,59.85,2.671,15.0,-2.5,129.1,383.76,-62.57,82.36,10.0,360.18,341.66,-72.64,-37.56,10.0,314.13,342.24,48.04,92.24,10.0,734.03,323.18,30.16,-31.02,10.0,572.39,282.49,7.27,62.16,10.0,342.21,150.14,55.99,8.45,10.0,27.66,514.87,-65.25,17.47,10.0,83.59,506.5,-2.8,63.33,10.0
9.693,59.45,59.96,2.631,15.0,-2.5,128.1,385.08,-62.57,82.36,10.0,359.02,341.06,-72.64,-37.56,10.0,314.9,343.72,48.04,92.24,10.0,734.51,322.68,30.16,-31.02,10.0,572.51,283.48,7.27,62.16,10.0,343.11,150.28,55.99,8.45,10.0,26.62,515.15,-65.25,17.47,10.0,83.55,507.52,-2.8,63.33,10.0
9.71,59.24,60.1,2.588,15.0,-2.5,127.03,386.48,-62.57,82.36,10.0,357.78,340.42,-72.64,-37.56,10.0,315.71,345.28,48.04,92.24,10.0,735.03,322.16,30.16,-31.02,10.0,572.63,284.54,7.27,62.16,10.0,344.06,150.42,55.99,8.45,10.0,25.51,515.44,-65.25,17.47,10.0,83.5,508.59,-2.8,63.33,10.0
9.727,59.03,60.24,2.546,15.0,-2.5,125.97,387.88,-62.57,82.36,10.0,356.55,339.78,-72.64,-37.56,10.0,316.53,346.85,48.04,92.24,10.0,735.54,321.63,30.16,-31.02,10.0,572.76,285.6,7.27,62.16,10.0,345.01,150.56,55.99,8.45,10.0,24.4,515.74,-65.25,17.47,10.0,83.45,509.67,-2.8,63.33,10.0
9.744,59.03,60.24,2.503,0.0,-2.5,124.91,389.28,-62.57,82.36,10.0,355.31,339.15,-72.64,-37.56,10.0,317.35,348.42,48.04,92.24,10.0,736.05,321.1,30.16,-31.02,10.0,572.88,286.65,7.27,62.16,10.0,345.96,150.71,55.99,8.45,10.0,23.29,516.04,-65.25,17.47,10.0,83.4,510.75,-2.8,63.33,10.0
9.767,59.03,60.24,2.446,0.0,-2.5,123.47,391.17,-62.57,82.36,10.0,353.64,338.28,-72.64,-37.56,10.0,318.45,350.54,48.04,92.24,10.0,736.75,320.39,30.16,-31.02,10.0,573.05,288.08,7.27,62.16,10.0,347.25,150.9,55.99,8.45,10.0,21.79,516.44,-65.25,17.47,10.0,83.34,512.2,-2.8,63.33,10.0
9.784,59.03,60.24,2.403,0.0,-2.5,122.4,392.57,-62.57,82.36,10.0,352.41,337.64,-72.64,-37.56,10.0,319.27,352.11,48.04,92.24,10.0,737.26,319.86,30.16,-31.02,10.0,573.17,289.14,7.27,62.16,10.0,348.2,151.05,55.99,8.45,10.0,20.68,516.74,-65.25,17.47,10.0,83.29,513.28,-2.8,63.33,10.0
9.801,59.03,60.24,2.361,0.0,-2.5,121.34,393.97,-62.57,82.36,10.0,351.17,337.0,-72.64,-37.56,10.0,320.08,353.68,48.04,92.24,10.0,737.77,319.33,30.16,-31.02,10.0,573.3,290.2,7.27,62.16,10.0,349.16,151.19,55.99,8.45,10.0,19.57,517.03,-65.25,17.47,10.0,83.24,514.35,-2.8,63.33,10.0
9.817,59.03,60.24,2.321,0.0,-2.5,120.34,395.29,-62.57,82.36,10.0,350.01,336.4,-72.64,-37.56,10.0,320.85,355.15,48.04,92.24,10.0,738.25,318.84,30.16,-31.02,10.0,573.41,291.19,7.27,62.16,10.0,350.05,151.32,55.99,8.45,10.0,18.53,517.31,-65.25,17.47,10.0,83.2,515.37,-2.8,63.33,10.0
9.834,59.03,60.24,2.278,0.0,-2.5,119.27,396.69,-62.57,82.36,10.0,348.77,335.77,-72.64,-37.56,10.0,321.67,356.72,48.04,92.24,10.0,738.77,318.31,30.16,-31.02,10.0,573.54,292.25,7.27,62.16,10.0,351.0,151.47,55.99,8.45,10.0,17.42,517.61,-65.25,17.47,10.0,83.15,516.44,-2.8,63.33,10.0
9.85,59.03,60.24,2.238,0.0,-2.5,118.27,398.01,-62.57,82.36,10.0,347.61,335.16,-72.64,-37.56,10.0,322.44,358.2,48.04,92.24,10.0,739.25,317.81,30.16,-31.02,10.0,573.65,293.24,7.27,62.16,10.0,351.9,151.6,55.99,8.45,10.0,16.38,517.89,-65.25,17.47,10.0,83.11,517.46,-2.8,63.33,10.0
9.866,59.03,60.24,2.198,0.0,-2.5,117.27,399.32,-62.57,82.36,10.0,346.45,334.56,-72.64,-37.56,10.0,323.21,359.67,48.04,92.24,10.0,739.73,317.32,30.16,-31.02,10.0,573.77,294.24,7.27,62.16,10.0,352.8,151.74,55.99,8.45,10.0,15.33,518.17,-65.25,17.47,10.0,83.06,518.47,-2.8,63.33,10.0
9.883,59.03,60.24,2.156,0.0,-2.5,116.21,400.72,-62.57,82.36,10.0,345.22,333.92,-72.64,-37.56,10.0,324.02,361.24,48.04,92.24,10.0,740.24,316.79,30.16,-31.02,10.0,573.89,295.29,7.27,62.16,10.0,353.75,151.88,55.99,8.45,10.0,14.22,518.47,-65.25,17.47,10.0,83.01,519.55,-2.8,63.33,10.0
9.899,59.03,60.24,2.116,0.0,-2.5,115.21,402.04,-62.57,82.36,10.0,344.05,333.32,-72.64,-37.56,10.0,324.79,362.72,48.04,92.24,10.0,740.73,316.29,30.16,-31.02,10.0,574.01,296.29,7.27,62.16,10.0,354.64,152.02,55.99,8.45,10.0,13.18,518.74,-65.25,17.47,10.0,82.97,520.56,-2.8,63.33,10.0
9.915,59.03,60.24,2.076,0.0,-2.5,114.21,403.36,-62.57,82.36,10.0,342.89,332.72,-72.64,-37.56,10.0,325.56,364.19,48.04,92.24,10.0,741.21,315.8,30.16,-31.02,10.0,574.12,297.28,7.27,62.16,10.0,355.54,152.15,55.99,8.45,10.0,12.13,519.02,-65.25,17.47,10.0,82.93,521.57,-2.8,63.33,10.0
9.931,59.03,60.24,2.036,0.0,-2.5,113.21,404.68,-62.57,82.36,10.0,341.73,332.12,-72.64,-37.56,10.0,326.33,365.67,48.04,92.24,10.0,741.69,315.3,30.16,-31.02,10.0,574.24,298.28,7.27,62.16,10.0,356.44,152.29,55.99,8.45,10.0,11.09,519.3,-65.25,17.47,10.0,82.88,522.59,-2.8,63.33,10.0
9.947,59.03,60.24,1.996,0.0,-2.5,112.2,406.0,-62.57,82.36,10.0,340.57,331.52,-72.64,-37.56,10.0,327.1,367.14,48.04,92.24,10.0,742.17,314.8,30.16,-31.02,10.0,574.36,299.27,7.27,62.16,10.0,357.33,152.42,55.99,8.45,10.0,10.05,519.58,-65.25,17.47,10.0,82.84,523.6,-2.8,63.33,10.0
9.972,59.03,60.24,1.933,0.0,-2.5,110.64,408.05,-62.57,82.36,10.0,338.75,330.58,-72.64,-37.56,10.0,328.3,369.45,48.04,92.24,10.0,742.93,314.03,30.16,-31.02,10.0,574.54,300.82,7.27,62.16,10.0,358.73,152.63,55.99,8.45,10.0,10.0,520.02,65.25,17.47,10.0,82.77,525.18,-2.8,63.33,10.0
9.989,59.03,60.24,1.891,0.0,-2.5,109.58,409.45,-62.57,82.36,10.0,337.52,329.94,-72.64,-37.56,10.0,329.11,371.02,48.04,92.24,10.0,743.44,313.5,30.16,-31.02,10.0,574.66,301.88,7.27,62.16,10.0,359.68,152.78,55.99,8.45,10.0,11.11,520.32,65.25,17.47,10.0,82.72,526.26,-2.8,63.33,10.0
10.005,59.03,60.24,1.851,0.0,-2.5,108.58,410.77,-62.57,82.36,10.0,336.35,329.34,-72.64,-37.56,10.0,329.88,372.49,48.04,92.24,10.0,743.92,313.0,30.16,-31.02,10.0,574.78,302.88,7.27,62.16,10.0,360.58,152.91,55.99,8.45,10.0,12.15,520.6,65.25,17.47,10.0,82.67,527.27,-2.8,63.33,10.0
10.022,59.03,60.24,1.808,0.0,-2.5,107.51,412.17,-62.57,82.36,10.0,335.12,328.7,-72.64,-37.56,10.0,330.7,374.06,48.04,92.24,10.0,744.44,312.48,30.16,-31.02,10.0,574.9,303.93,7.27,62.16,10.0,361.53,153.06,55.99,8.45,10.0,13.26,520.89,65.25,17.47,10.0,82.63,528.35,-2.8,63.33,10.0
10.039,59.03,60.24,1.766,0.0,-2.5,106.45,413.57,-62.57,82.36,10.0,333.88,328.07,-72.64,-37.56,10.0,331.52,375.63,48.04,92.24,10.0,744.95,311.95,30.16,-31.02,10.0,575.03,304.99,7.27,62.16,10.0,362.48,153.2,55.99,8.45,10.0,14.37,521.19,65.25,17.47,10.0,82.58,529.43,-2.8,63.33,10.0
10.055,59.03,60.24,1.726,0.0,-2.5,105.45,414.89,-62.57,82.36,10.0,332.72,327.46,-72.64,-37.56,10.0,332.28,377.11,48.04,92.24,10.0,745.43,311.45,30.16,-31.02,10.0,575.14,305.98,7.27,62.16,10.0,363.38,153.33,55.99,8.45,10.0,15.42,521.47,65.25,17.47,10.0,82.53,530.44,-2.8,63.33,10.0
10.071,59.03,60.24,1.686,0.0,-2.5,104.45,416.21,-62.57,82.36,10.0,331.56,326.86,-72.64,-37.56,10.0,333.05,378.58,48.04,92.24,10.0,745.91,310.96,30.16,-31.02,10.0,575.26,306.98,7.27,62.16,10.0,364.27,153.47,55.99,8.45,10.0,16.46,521.75,65.25,17.47,10.0,82.49,531.45,-2.8,63.33,10.0
10.087,59.03,60.24,1.646,0.0,-2.5,103.45,417.53,-62.57,82.36,10.0,330.4,326.26,-72.64,-37.56,10.0,333.82,380.06,48.04,92.24,10.0,746.4,310.46,30.16,-31.02,10.0,575.37,307.97,7.27,62.16,10.0,365.17,153.6,55.99,8.45,10.0,17.5,522.03,65.25,17.47,10.0,82.44,532.47,-2.8,63.33,10.0
10.104,59.03,60.24,1.603,0.0,-2.5,102.38,418.93,-62.57,82.36,10.0,329.16,325.62,-72.64,-37.56,10.0,334.64,381.63,48.04,92.24,10.0,746.91,309.93,30.16,-31.02,10.0,575.5,309.03,7.27,62.16,10.0,366.12,153.75,55.99,8.45,10.0,18.61,522.33,65.25,17.47,10.0,82.4,533.54,-2.8,63.33,10.0
10.122,59.03,60.24,1.558,0.0,-2.5,101.26,420.41,-62.57,82.36,10.0,327.85,324.95,-72.64,-37.56,10.0,335.5,383.29,48.04,92.24,10.0,747.45,309.38,30.16,-31.02,10.0,575.63,310.15,7.27,62.16,10.0,367.13,153.9,55.99,8.45,10.0,19.79,522.64,65.25,17.47,10.0,82.35,534.68,-2.8,63.33,10.0
10.138,59.03,60.24,1.518,0.0,-2.5,100.25,421.73,-62.57,82.36,10.0,326.69,324.35,-72.64,-37.56,10.0,336.27,384.76,48.04,92.24,10.0,747.94,308.88,30.16,-31.02,10.0,575.75,311.14,7.27,62.16,10.0,368.03,154.03,55.99,8.45,10.0,20.83,522.92,65.25,17.47,10.0,82.3,535.7,-2.8,63.33,10.0
10.154,59.03,60.24,1.478,0.0,-2.5,99.25,423.04,-62.57,82.36,10.0,325.53,323.75,-72.64,-37.56,10.0,337.04,386.24,48.04,92.24,10.0,748.42,308.38,30.16,-31.02,10.0,575.86,312.14,7.27,62.16,10.0,368.92,154.17,55.99,8.45,10.0,21.87,523.2,65.25,17.47,10.0,82.26,536.71,-2.8,63.33,10.0
10.179,59.03,60.24,1.416,0.0,-2.5,97.69,425.1,-62.57,82.36,10.0,323.71,322.81,-72.64,-37.56,10.0,338.24,388.54,48.04,92.24,10.0,749.17,307.61,30.16,-31.02,10.0,576.04,313.69,7.27,62.16,10.0,370.32,154.38,55.99,8.45,10.0,23.51,523.64,65.25,17.47,10.0,82.19,538.29,-2.8,63.33,10.0
10.196,59.03,60.24,1.373,0.0,-2.5,96.63,426.5,-62.57,82.36,10.0,322.48,322.17,-72.64,-37.56,10.0,339.06,390.11,48.04,92.24,10.0,749.68,307.08,30.16,-31.02,10.0,576.17,314.75,7.27,62.16,10.0,371.27,154.52,55.99,8.45,10.0,24.62,523.93,65.25,17.47,10.0,82.14,539.37,-2.8,63.33,10.0
10.214,59.03,60.24,1.328,0.0,-2.5,95.5,427.99,-62.57,82.36,10.0,321.17,321.49,-72.64,-37.56,10.0,339.92,391.77,48.04,92.24,10.0,750.23,306.52,30.16,-31.02,10.0,576.3,315.87,7.27,62.16,10.0,372.28,154.68,55.99,8.45,10.0,25.79,524.25,65.25,17.47,10.0,82.09,540.51,-2.8,63.33,10.0
10.231,59.03,60.24,1.286,0.0,-2.5,94.44,429.39,-62.57,82.36,10.0,319.94,320.85,-72.64,-37.56,10.0,340.74,393.34,48.04,92.24,10.0,750.74,305.99,30.16,-31.02,10.0,576.42,316.92,7.27,62.16,10.0,373.23,154.82,55.99,8.45,10.0,26.9,524.54,65.25,17.47,10.0,82.04,541.59,-2.8,63.33,10.0
10.249,59.03,60.24,1.241,0.0,-2.5,93.31,430.87,-62.57,82.36,10.0,318.63,320.18,-72.64,-37.56,10.0,341.6,395.0,48.04,92.24,10.0,751.28,305.44,30.16,-31.02,10.0,576.55,318.04,7.27,62.16,10.0,374.24,154.97,55.99,8.45,10.0,28.07,524.86,65.25,17.47,10.0,81.99,542.73,-2.8,63.33,10.0
10.266,59.03,60.24,1.198,0.0,-2.5,92.25,432.27,-62.57,82.36,10.0,317.39,319.54,-72.64,-37.56,10.0,342.42,396.57,48.04,92.24,10.0,751.8,304.91,30.16,-31.02,10.0,576.68,319.1,7.27,62.16,10.0,375.19,155.12,55.99,8.45,10.0,29.18,525.15,65.25,17.47,10.0,81.94,543.8,-2.8,63.33,10.0
10.283,59.03,60.24,1.156,0.0,-2.5,91.18,433.67,-62.57,82.36,10.0,316.16,318.9,-72.64,-37.56,10.0,343.24,398.14,48.04,92.24,10.0,752.31,304.38,30.16,-31.02,10.0,576.8,320.16,7.27,62.16,10.0,376.15,155.26,55.99,8.45,10.0,30.29,525.45,65.25,17.47,10.0,81.9,544.88,-2.8,63.33,10.0
10.3,59.03,60.24,1.113,0.0,-2.5,90.12,435.07,-62.57,82.36,10.0,314.92,318.26,-72.64,-37.56,10.0,344.05,399.7,48.04,92.24,10.0,752.82,303.85,30.16,-31.02,10.0,576.92,321.21,7.27,62.16,10.0,377.1,155.4,55.99,8.45,10.0,31.4,525.75,65.25,17.47,10.0,81.85,545.96,-2.8,63.33,10.0
10.317,59.03,60.24,1.071,0.0,-2.5,89.05,436.47,-62.57,82.36,10.0,313.69,317.62,-72.64,-37.56,10.0,344.87,401.27,48.04,92.24,10.0,753.33,303.33,30.16,-31.02,10.0,577.05,322.27,7.27,62.16,10.0,378.05,155.55,55.99,8.45,10.0,32.51,526.05,65.25,17.47,10.0,81.8,547.03,-2.8,63.33,10.0
10.334,59.03,60.24,1.028,0.0,-2.5,87.99,437.87,-62.57,82.36,10.0,312.45,316.99,-72.64,-37.56,10.0,345.69,402.84,48.04,92.24,10.0,753.85,302.8,30.16,-31.02,10.0,577.17,323.33,7.27,62.16,10.0,379.0,155.69,55.99,8.45,10.0,33.62,526.34,65.25,17.47,10.0,81.75,548.11,-2.8,63.33,10.0
10.351,59.03,60.24,0.986,0.0,-2.5,86.93,439.27,-62.57,82.36,10.0,311.22,316.35,-72.64,-37.56,10.0,346.5,404.41,48.04,92.24,10.0,754.36,302.27,30.16,-31.02,10.0,577.29,324.38,7.27,62.16,10.0,379.95,155.83,55.99,8.45,10.0,34.73,526.64,65.25,17.47,10.0,81.71,549.19,-2.8,63.33,10.0
10.368,59.03,60.24,0.943,0.0,-2.5,85.86,440.67,-62.57,82.36,10.0,309.98,315.71,-72.64,-37.56,10.0,347.32,405.98,48.04,92.24,10.0,754.87,301.74,30.16,-31.02,10.0,577.42,325.44,7.27,62.16,10.0,380.9,155.98,55.99,8.45,10.0,35.84,526.94,65.25,17.47,10.0,81.66,550.26,-2.8,63.33,10.0
10.394,59.03,60.24,0.878,0.0,-2.5,84.24,442.81,-62.57,82.36,10.0,308.1,314.73,-72.64,-37.56,10.0,348.57,408.37,48.04,92.24,10.0,755.66,300.94,30.16,-31.02,10.0,577.61,327.05,7.27,62.16,10.0,382.36,156.2,55.99,8.45,10.0,37.53,527.39,65.25,17.47,10.0,81.59,551.91,-2.8,63.33,10.0
10.41,59.03,60.24,0.838,0.0,-2.5,83.24,444.13,-62.57,82.36,10.0,306.93,314.13,-72.64,-37.56,10.0,349.34,409.85,48.04,92.24,10.0,756.14,300.44,30.16,-31.02,10.0,577.72,328.05,7.27,62.16,10.0,383.26,156.33,55.99,8.45,10.0,38.58,527.67,65.25,17.47,10.0,81.54,552.92,-2.8,63.33,10.0
10.426,59.03,60.24,0.798,0.0,-2.5,82.23,445.45,-62.57,82.36,10.0,305.77,313.53,-72.64,-37.56,10.0,350.11,411.33,48.04,92.24,10.0,756.62,299.95,30.16,-31.02,10.0,577.84,329.04,7.27,62.16,10.0,384.15,156.47,55.99,8.45,10.0,39.62,527.95,65.25,17.47,10.0,81.5,553.94,-2.8,63.33,10.0
10.442,59.03,60.24,0.758,0.0,-2.5,81.23,446.76,-62.57,82.36,10.0,304.61,312.93,-72.64,-37.56,10.0,350.88,412.8,48.04,92.24,10.0,757.1,299.45,30.16,-31.02,10.0,577.96,330.04,7.27,62.16,10.0,385.05,156.6,55.99,8.45,10.0,40.67,528.23,65.25,17.47,10.0,81.45,554.95,-2.8,63.33,10.0
